voter_id,candidate_id,vote_time,label
79,105,1732175334,0
16,105,1732174131,0
58,101,1732177735,0
62,101,1732176666,0
90,105,1732178971,0
66,101,1732176475,0
49,105,1732177829,0
33,101,1732176377,0
20,102,1732178424,0
53,105,1732178384,0
68,104,1732180035,0
90,103,1732180422,0
83,103,1732179836,0
56,102,1732175930,0
11,101,1732175106,0
4,105,1732179517,0
41,103,1732177873,0
43,103,1732174127,0
88,102,1732176200,0
55,104,1732178332,0
59,102,1732175363,0
85,105,1732176064,0
30,102,1732174393,0
69,105,1732176530,0
27,103,1732176610,0
52,104,1732177984,0
43,103,1732174023,0
90,101,1732176446,1
38,103,1732179872,0
41,105,1732176936,0
100,101,1732174661,0
44,102,1732176513,0
39,105,1732174521,0
61,105,1732175706,0
62,105,1732175514,0
63,103,1732180126,0
76,103,1732179333,0
70,105,1732179072,0
16,104,1732175645,0
29,103,1732180227,0
5,102,1732174896,0
57,102,1732175563,0
87,101,1732177866,0
47,101,1732180784,0
100,101,1732180023,0
92,103,1732178613,0
99,101,1732173903,0
14,102,1732177611,0
43,102,1732175483,0
51,101,1732176471,0
25,105,1732177886,0
87,104,1732178865,0
8,102,1732176675,0
83,102,1732174894,0
28,103,1732173662,0
77,103,1732178627,0
10,104,1732173815,0
92,104,1732177825,0
12,102,1732176759,0
54,101,1732178078,0
31,103,1732177777,0
66,101,1732174877,0
63,102,1732180111,0
46,105,1732176585,0
34,102,1732175987,0
100,101,1732176046,0
4,104,1732178201,0
5,103,1732178509,0
61,103,1732179970,0
26,102,1732178965,0
68,104,1732174132,0
65,103,1732175083,0
66,103,1732178016,0
91,102,1732176659,1
94,101,1732176133,0
60,104,1732176645,0
29,102,1732174637,0
72,103,1732177707,0
83,104,1732180302,0
56,103,1732179614,0
1,103,1732178444,0
66,101,1732173879,0
60,102,1732179838,0
25,102,1732175697,0
71,101,1732180616,0
82,101,1732176064,0
6,101,1732179304,0
35,105,1732176891,0
30,101,1732177483,1
66,103,1732176145,0
22,102,1732174465,0
1,103,1732178932,0
70,105,1732173614,0
67,105,1732177358,0
54,105,1732175405,0
99,101,1732177773,0
8,101,1732175468,0
66,105,1732176352,0
32,104,1732174289,1
90,104,1732177095,1
85,104,1732179090,0
50,104,1732174112,0
5,102,1732174589,0
13,102,1732174061,0
82,103,1732173822,0
90,101,1732180154,0
4,102,1732175826,0
26,101,1732179850,0
51,102,1732180079,0
59,103,1732180361,0
33,105,1732178850,1
9,103,1732177738,0
10,103,1732177459,0
52,103,1732178603,0
21,105,1732179485,0
86,101,1732176510,0
97,103,1732180709,0
43,105,1732176993,0
12,104,1732178878,0
49,105,1732175030,0
76,101,1732178073,0
26,102,1732178598,0
74,101,1732179335,0
96,105,1732178479,0
33,103,1732175569,0
35,104,1732177655,0
60,104,1732175902,0
100,102,1732177370,0
19,102,1732179613,0
48,105,1732178630,0
91,104,1732176195,0
63,105,1732174033,0
45,103,1732178666,0
60,104,1732175221,0
24,104,1732177481,0
87,103,1732175536,0
24,105,1732178872,0
97,102,1732175608,0
17,104,1732177684,0
7,103,1732175162,0
58,103,1732178657,0
56,103,1732177853,0
78,104,1732180237,0
13,104,1732176962,0
70,103,1732175888,0
64,102,1732174077,0
84,105,1732177465,0
38,105,1732175005,0
65,101,1732180635,0
17,103,1732173707,0
89,103,1732176091,0
75,101,1732175719,0
54,105,1732175024,0
14,101,1732178886,0
36,102,1732174002,0
54,105,1732180724,0
11,105,1732174278,0
16,104,1732177009,0
52,104,1732180568,0
10,101,1732178209,0
89,105,1732176140,0
70,101,1732178095,0
6,102,1732177132,0
14,104,1732179212,0
67,105,1732180196,0
66,104,1732176746,0
49,103,1732178155,0
29,105,1732175746,0
70,101,1732179319,1
56,103,1732178245,0
43,101,1732177042,0
7,105,1732179893,0
56,105,1732177136,0
84,103,1732178248,0
76,102,1732177115,0
49,104,1732176660,0
86,103,1732180405,0
82,101,1732177635,0
49,105,1732178264,0
7,105,1732179033,0
30,103,1732180334,0
72,104,1732174352,0
100,101,1732177822,0
1,105,1732174045,0
81,101,1732177505,0
72,105,1732179048,0
59,103,1732175696,0
100,105,1732173891,0
71,105,1732176428,0
4,102,1732175138,0
13,104,1732176358,0
85,101,1732178773,0
62,102,1732178056,0
88,105,1732174189,0
13,105,1732180676,0
29,104,1732178293,0
8,102,1732178363,0
20,104,1732176671,0
23,105,1732175880,0
69,102,1732176523,0
59,101,1732174344,0
23,103,1732180565,0
54,104,1732179423,0
33,101,1732179745,0
5,102,1732174992,0
48,104,1732174690,0
42,101,1732175217,0
74,103,1732176305,0
22,101,1732180141,0
42,101,1732180094,0
81,103,1732174643,0
66,101,1732175457,0
62,103,1732173852,0
68,105,1732179916,0
84,101,1732174299,0
54,105,1732176488,1
39,105,1732177342,0
83,101,1732175027,0
33,104,1732177973,0
32,102,1732180196,0
13,104,1732179727,0
41,105,1732178814,0
80,101,1732175354,0
95,104,1732175885,0
68,103,1732174224,0
16,104,1732174563,0
84,102,1732176665,1
92,103,1732176609,0
87,105,1732178435,0
26,105,1732177431,0
55,105,1732175376,0
83,101,1732180526,1
77,101,1732179204,0
64,101,1732174614,0
23,102,1732174152,0
18,105,1732176412,0
44,101,1732175765,0
92,103,1732176259,0
37,104,1732176634,0
21,105,1732178958,0
3,101,1732179309,0
51,105,1732175761,0
40,103,1732177334,1
81,104,1732177315,0
96,102,1732178166,0
11,104,1732175132,0
46,101,1732176891,0
26,105,1732175738,0
42,101,1732180359,0
7,102,1732177906,0
47,101,1732179667,0
95,105,1732180241,0
41,101,1732177617,0
64,105,1732175341,0
17,105,1732176831,0
17,105,1732180612,0
14,105,1732180770,0
86,101,1732178055,0
51,103,1732175103,0
46,102,1732180347,0
21,103,1732178058,0
98,105,1732176305,0
11,102,1732174961,0
48,101,1732175372,0
73,101,1732176749,0
82,105,1732176834,0
27,101,1732174452,0
70,104,1732174617,1
14,104,1732179950,0
14,103,1732176384,0
23,105,1732178296,0
34,102,1732176662,0
16,105,1732179838,0
18,102,1732180166,0
16,101,1732177257,0
55,101,1732179599,0
3,102,1732179088,0
63,101,1732180080,0
55,104,1732179599,0
16,101,1732175459,0
35,101,1732180113,0
79,101,1732176335,0
20,102,1732180253,0
96,105,1732175404,0
8,103,1732176624,0
